0,Toyota,Corola,GASOLINE,SEDAN,GREY,2020-01-01,105,MANUAL,5,5,50,7
1,Audi,A4,DIESEL,SEDAN,WHITE,2020-08-02,120,AUTOMATIC,5,5,50,7
2,Mercedes,S63,GASOLINE,COUPE,BLACK,2019-05-14,415,AUTOMATIC,3,3,100,12
3,Volkswagen,Transporter,GASOLINE,TRANSPORTER,BEIGE,2017-02-28,174,AUTOMATIC,2,7,70,9
4,Ford,Focus,DIESEL,SEDAN,GREY,2017-09-23,160,MANUAL,5,5,40,7
5,Tesla,Model x,ELECTRIC,OTHER,SILVER,2020-09-12,778,AUTOMATIC,5,5,100,12
6,Volvo,V60,HYBRID_DIESEL,STATION_WAGON,BLACK,2019-08-30,415,AUTOMATIC,5,5,70,9
7,Volkswagen,Golf6,DIESEL,SEDAN,GREY,2014-04-14,103,MANUAL,5,5,40,7
8,Lexus,LS400,HYBRID_GASOLINE,SEDAN,BLACK,2018-05-21,264,AUTOMATIC,5,5,80,10
9,BMW,M5,GASOLINE,SEDAN,GREY,2019-09-12,600,AUTOMATIC,5,5,100,12
